finding_id,source_finding_id,source_tool,finding_type,security_domain,title,normalised_severity,priority,risk_score,asset_id,technical_owner,remediation_owner,due_date,suppression_id,suppression_status,cve,cwe,file,package_name,fixed_version
FND-CONTAINER-026cbd40a3d8,CVE-2026-9538,trivy,Container,Container,perl-base CVE-2026-9538,high,P3,56.25,AST-CONTAINER,Platform Engineering,Platform Engineering,2026-01-15,,,CVE-2026-9538,,,perl-base,
FND-CONTAINER-033201244a2b,CVE-2026-53615,trivy,Container,Container,bsdutils CVE-2026-53615,high,P3,56.25,AST-CONTAINER,Platform Engineering,Platform Engineering,2026-01-15,,,CVE-2026-53615,,,bsdutils,
FND-CONTAINER-35a70101ee98,CVE-2026-53615,trivy,Container,Container,libblkid1 CVE-2026-53615,high,P3,56.25,AST-CONTAINER,Platform Engineering,Platform Engineering,2026-01-15,,,CVE-2026-53615,,,libblkid1,
FND-CONTAINER-35a7a61eb9e3,CVE-2026-53615,trivy,Container,Container,libmount1 CVE-2026-53615,high,P3,56.25,AST-CONTAINER,Platform Engineering,Platform Engineering,2026-01-15,,,CVE-2026-53615,,,libmount1,
FND-CONTAINER-3686ad447a1f,CVE-2026-42497,trivy,Container,Container,perl-base CVE-2026-42497,high,P3,56.25,AST-CONTAINER,Platform Engineering,Platform Engineering,2026-01-15,,,CVE-2026-42497,,,perl-base,
FND-CONTAINER-4a39d4c85743,CVE-2026-48962,trivy,Container,Container,perl-base CVE-2026-48962,high,P3,56.25,AST-CONTAINER,Platform Engineering,Platform Engineering,2026-01-15,,,CVE-2026-48962,,,perl-base,
FND-CONTAINER-57b96cf12bee,CVE-2025-69720,trivy,Container,Container,libtinfo6 CVE-2025-69720,high,P3,56.25,AST-CONTAINER,Platform Engineering,Platform Engineering,2026-01-15,,,CVE-2025-69720,,,libtinfo6,
FND-CONTAINER-5ee1761422cc,CVE-2026-42496,trivy,Container,Container,perl-base CVE-2026-42496,critical,P2,62.25,AST-CONTAINER,Platform Engineering,Platform Engineering,2026-01-04,,,CVE-2026-42496,,,perl-base,
FND-CONTAINER-6017bcc173f8,CVE-2026-54369,trivy,Container,Container,libacl1 CVE-2026-54369,high,P3,56.25,AST-CONTAINER,Platform Engineering,Platform Engineering,2026-01-15,,,CVE-2026-54369,,,libacl1,
FND-CONTAINER-6884a6a2aeb3,CVE-2025-69720,trivy,Container,Container,libncursesw6 CVE-2025-69720,high,P3,56.25,AST-CONTAINER,Platform Engineering,Platform Engineering,2026-01-15,,,CVE-2025-69720,,,libncursesw6,
FND-CONTAINER-77763b149b4f,CVE-2025-69720,trivy,Container,Container,ncurses-base CVE-2025-69720,high,P3,56.25,AST-CONTAINER,Platform Engineering,Platform Engineering,2026-01-15,,,CVE-2025-69720,,,ncurses-base,
FND-CONTAINER-9360fa554791,CVE-2026-53615,trivy,Container,Container,libuuid1 CVE-2026-53615,high,P3,56.25,AST-CONTAINER,Platform Engineering,Platform Engineering,2026-01-15,,,CVE-2026-53615,,,libuuid1,
FND-CONTAINER-95a38a1f2a20,CVE-2026-8376,trivy,Container,Container,perl-base CVE-2026-8376,critical,P2,62.25,AST-CONTAINER,Platform Engineering,Platform Engineering,2026-01-04,,,CVE-2026-8376,,,perl-base,
FND-CONTAINER-96b263718199,CVE-2026-53615,trivy,Container,Container,liblastlog2-2 CVE-2026-53615,high,P3,56.25,AST-CONTAINER,Platform Engineering,Platform Engineering,2026-01-15,,,CVE-2026-53615,,,liblastlog2-2,
FND-CONTAINER-9bac41a1b5ac,CVE-2026-53615,trivy,Container,Container,util-linux CVE-2026-53615,high,P3,56.25,AST-CONTAINER,Platform Engineering,Platform Engineering,2026-01-15,,,CVE-2026-53615,,,util-linux,
FND-CONTAINER-ba223b9333c9,CVE-2026-53615,trivy,Container,Container,libsmartcols1 CVE-2026-53615,high,P3,56.25,AST-CONTAINER,Platform Engineering,Platform Engineering,2026-01-15,,,CVE-2026-53615,,,libsmartcols1,
FND-CONTAINER-c1e6ced9904f,CVE-2025-69720,trivy,Container,Container,ncurses-bin CVE-2025-69720,high,P3,56.25,AST-CONTAINER,Platform Engineering,Platform Engineering,2026-01-15,,,CVE-2025-69720,,,ncurses-bin,
